# BEAST v1.7.4, r5154
# Generated Fri Sep 25 21:47:24 BST 2015 [seed=1443214044375]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CentralPacificIslands)	tmrca(MainHawaiian)	tmrca(NorthWesternHawaiian)	tmrca(Hawaii)	constant.popSize	clock.rate	treeLikelihood	coalescent
91000	-5047.784033898936	-4.087706280881991	-5043.696327618054	0.18937123245734197	0.10581689115445761	0.06349350883529752	0.10581689115445761	0.01799101791751682	0.6291679729105502	1.0	-5043.696327618054	-0.22701455446436342
92000	-5046.842854444222	-0.7386304123029523	-5046.104224031919	0.1827828660670684	0.11479534520102441	0.0619682135440464	0.11479534520102441	0.014842035751794398	0.2662315708666719	1.0	-5046.104224031919	2.2620295427383703
93000	-5048.483964068305	-2.2025375031857672	-5046.28142656512	0.1755300079229913	0.09414799560983501	0.058655544504261845	0.09414799560983501	0.015671221070002104	0.49961760779162906	1.0	-5046.28142656512	1.4275989760383831
94000	-5049.656197717704	-0.752651086748944	-5048.903546630955	0.20300098435742908	0.09981738892551525	0.05010551858714765	0.09981738892551525	0.017513899927489057	0.1776286089978277	1.0	-5048.903546630955	1.7582745957981285
95000	-5046.536463751363	-2.1926014156084683	-5044.343862335754	0.20345371788228792	0.10215575119510742	0.05815919369366434	0.10215575119510742	0.016009051114749394	0.4913632943002488	1.0	-5044.343862335754	1.3785268702326583
96000	-5049.54500638863	-0.7719820542034452	-5048.773024334427	0.1853460306185547	0.09210391270237926	0.05193557976976088	0.09210391270237926	0.013259159463517814	0.4162926705672951	1.0	-5048.773024334427	2.5717179267997614
97000	-5049.302431302026	-0.40618659553677183	-5048.89624470649	0.1675168094603051	0.08743480721720083	0.05787778256349678	0.08743480721720083	0.014839168761320862	0.385097985317428	1.0	-5048.89624470649	2.8596226467766686
98000	-5048.185979109525	-1.2179063747848686	-5046.96807273474	0.1957825250418722	0.09837948018248639	0.058359831057596775	0.09837948018248639	0.01593908580650116	0.1804942605467757	1.0	-5046.96807273474	1.2901040380468811
99000	-5046.736375759767	0.13487155470522172	-5046.871247314472	0.1879482978383339	0.09433994993045358	0.0601941486891596	0.09433994993045358	0.012456153023910243	0.21132790431994478	1.0	-5046.871247314472	2.8005939638957154
100000	-5045.768683707749	0.06775826261871742	-5045.836441970368	0.1828339760724874	0.09681747031848252	0.05579639859653871	0.09681747031848252	0.014970739465462558	0.23462858598792413	1.0	-5045.836441970368	2.8380734744100504
101000	-5044.707829191596	0.48850362363386735	-5045.19633281523	0.18703031100694806	0.09062536437956169	0.058238034558017945	0.09062536437956169	0.01429772240188236	0.23220039381512175	1.0	-5045.19633281523	3.2484158220022645
102000	-5049.112619243011	-0.7570112907089532	-5048.355607952302	0.19536215168843538	0.09643159578212394	0.05314601474882663	0.09643159578212394	0.014686313119806936	0.4104094573289537	1.0	-5048.355607952302	2.5724554801451123
103000	-5044.742557740862	-0.23832323046698	-5044.504234510395	0.20233773605349792	0.09898846018832266	0.060115012864237254	0.09898846018832266	0.014964283066608916	0.28226087696051766	1.0	-5044.504234510395	2.7168199415277385
104000	-5046.017229046129	0.5862262716629854	-5046.6034553177915	0.19265274379207759	0.08761884863865939	0.0584614320006969	0.08761884863865939	0.015063147586002279	0.26782338049529414	1.0	-5046.6034553177915	3.4888654400059522
105000	-5044.54205131045	0.36673820661473355	-5044.908789517065	0.1981109302117509	0.10139379426102645	0.05781419831910078	0.10139379426102645	0.014889393815710188	0.26412664600583435	1.0	-5044.908789517065	3.255478347540556
106000	-5047.418369494474	-0.22778519432626343	-5047.190584300148	0.2100377102159168	0.0833015069870213	0.054662995730327936	0.0833015069870213	0.015705600754068582	0.35440301548244774	1.0	-5047.190584300148	2.9549609661552703
107000	-5045.755214322093	-0.2588694810059273	-5045.496344841087	0.19087091288288574	0.09675507496238586	0.05718347323546229	0.09675507496238586	0.01597667213371263	0.33824266793088126	1.0	-5045.496344841087	2.8772055424199
108000	-5049.297953056655	-1.1963849194352667	-5048.10156813722	0.19614423207570866	0.09153387859185613	0.05760363242521761	0.09153387859185613	0.017599679280253588	0.3654182386769367	1.0	-5048.10156813722	2.2825249271395283
109000	-5051.114405424994	0.39956512788680953	-5051.513970552881	0.18531725004700628	0.08440382206188182	0.049048891560433454	0.08440382206188182	0.014558021674037	0.29615074363858057	1.0	-5051.513970552881	3.607379703670084
110000	-5044.7004778388755	-0.10223969958977008	-5044.598238139286	0.17497406287497927	0.09364103918539786	0.05916512813315411	0.09364103918539786	0.01569647786057395	0.29204977378272545	1.0	-5044.598238139286	3.0916305283556165
111000	-5050.57958179159	-3.629866821441093	-5046.949714970148	0.1835198670545744	0.11059806737211854	0.06381370474691878	0.11059806737211854	0.01808639541308716	0.5609691597742471	1.0	-5046.949714970148	0.21674509094947986
112000	-5045.673450564048	-0.39101100757476903	-5045.282439556473	0.18959714856428617	0.10326018546938043	0.06557004148717284	0.10326018546938043	0.016551239448088496	0.29439490259989043	1.0	-5045.282439556473	2.3717492696379736
113000	-5045.571957993904	0.3426079597143996	-5045.914565953619	0.18780194626265573	0.09640535534600445	0.0612018468515209	0.09640535534600445	0.01548275845538673	0.23328360342871904	1.0	-5045.914565953619	2.872701060258363
114000	-5048.00745295746	0.2071749829645011	-5048.214627940425	0.2007751703794529	0.08998097192992977	0.051984293613110084	0.08998097192992977	0.01750561685007418	0.3142565483207464	1.0	-5048.214627940425	3.035222873198045
115000	-5045.453309837952	0.32464595146283903	-5045.777955789415	0.18999987325048712	0.09839798186468139	0.056420171904010434	0.09839798186468139	0.01215690935901945	0.24393684838795215	1.0	-5045.777955789415	3.2865866925831244
116000	-5049.327168156466	-0.7182401446626527	-5048.608928011803	0.209317798887354	0.10658096267407434	0.06251253910317868	0.10658096267407434	0.01367038944918675	0.29819247968136336	1.0	-5048.608928011803	2.44453040571536
117000	-5047.722972629844	-0.8356587297665969	-5046.887313900077	0.21115952069932586	0.09811627475429416	0.0619486069699417	0.09811627475429416	0.014733615713603236	0.34308440904307547	1.0	-5046.887313900077	2.4673491450370615
118000	-5044.6211478597115	-0.2671046895794671	-5044.354043170132	0.19309052663718773	0.10161257377288431	0.06092382199579456	0.10161257377288431	0.017007677089687034	0.2837771495642671	1.0	-5044.354043170132	2.614300115347312
119000	-5048.012755738443	-0.9160604348107775	-5047.096695303632	0.20758862016910176	0.10036937675476695	0.06351945539906322	0.10036937675476695	0.015466750777638516	0.3484136818987254	1.0	-5047.096695303632	2.1705456394833087
120000	-5048.726625328799	0.08839985880863299	-5048.815025187608	0.18686018494478912	0.08465782559088507	0.054783619708556	0.08465782559088507	0.018539983595623553	0.22755432643549556	1.0	-5048.815025187608	2.749004425635279
121000	-5049.710160683359	-0.38117656856350557	-5049.328984114796	0.16949915955037656	0.10096247830913588	0.061729016168826645	0.10096247830913588	0.01643642413388464	0.29147408995313445	1.0	-5049.328984114796	2.526990107463122
122000	-5048.586119975871	-1.6572635269302034	-5046.928856448941	0.1859660120306142	0.10332136458869276	0.06731905337315156	0.10332136458869276	0.0156477056163843	0.4288670737833371	1.0	-5046.928856448941	1.6370990520876503
123000	-5045.3566590441515	-0.21341621641912933	-5045.143242827732	0.19005085400749008	0.0934061316121852	0.06142312558868118	0.0934061316121852	0.013401171584917325	0.183978703502992	1.0	-5045.143242827732	2.2346193520842563
124000	-5046.209077985984	0.25331454204292436	-5046.462392528027	0.1912532475801939	0.10279856651159353	0.06280197326646754	0.10279856651159353	0.013406257479473136	0.2658226971879614	1.0	-5046.462392528027	3.2458038484348175
